Type,Question
what organization gave,"What organization gave Richie Mensah the Male Music Star of the Year award, and what year did he win the award?"
what teams did,"What teams did Juraj Kolník play for in the National Hockey League, and how many overall appearances did he have in the NHL?"
what is the,What is the story of Stoke-on-Trent South constituency?
which two roles,"Which two roles did Tyler Collins play in the films titled ""Just Say Hi"" and ""Where do We Go from Here?""?"
how many games,How many games did Brabin play in the 1998-1999 season and where did he go after?
when was breach,When was Breach released and what singles were included with the play?
how was the,How was the film Raising Victor Vargas by Vives received?
how were larry,"From 1996 to 2008, how were Larry Klein's achievements rewarded?"
how many seasons,"How many seasons did Warney Cresswell play in his career, and how many league appearances did he make?"
how strong was,How strong was the Hurricane Kiko and what year did it make landfall ?
which films did,Which films did Mya-Lecia Naylor appear in between 2013 and 2014?
how fast was,How fast was the worlds fastest roller coaster  and how long did it hold that title before being over taken in 2003?
what was adil,What was Adil Ray's acting role in 2010?
which ceremony did,Which ceremony did Play School take part in 2016 and which award were they nominated for?
what series did,"What series did Zhang Zhehan play Wei Ying in, and what year did the series come out?"
when and where,When and where did Leg 1 of the Misia Candle Night begin and end?
who were the,"Who were the top two finishers in the 2012 Carlisle City Council election, what parties did each represent, and what was the margin of victory?"
what awards did,What awards did Kim win for her role in the king in 2017?
in what show did,"In what show did Elsa Pataky play Vera Hidalgo, what year did it come out, and how many episodes were there?"
what were the,What were the standings of Vijay Singh and Padraig Harrington at the 2007 Masters Tournament?
what was the,What was the result of the delayed election in Harlow common and what was the vote winning margin?
what was the,What was the result of the 1918 election and which politicians died in 1918?
what family member,What family Member of doctor poison appears in which comic ?
how many variants,"How many variants are there of the Boeing 737 Classic, and what is the seating capacity of each variant?"
what year did,"What year did Thomas Cochran coach the Minnesota Golden Gophers, and what was his record during that season?"
who did truman,Who did Truman appoint as US Ambassador to Mexico in 1950 and how long did they serve in that role?
how was namkoong,"Other than the 1st Asia Artist Awards, how was Namkoong Min's acting applauded in 2016?"
what were the,"What were the first two singles World Party ever released, and what album were the songs on?"
what place did,"What place did Renaud Lavillenie finish at the 2012 Olympic Games, and how high did he jump?"
what show did,"What show did Audra McDonald perform as Billie Holiday, and what was the first year she played the role?"
how did chanler,How did Chanler-Berat start off his career?
where was the,Where was the 1985 Grand Final held and how many spectators were there at the event?
which medal did,Which medal did Simone Facey win at the 2002 World Junior Championships in Kingston and in which event did he achieve the time of 11.43?
what show did,"What show did Helen Gamboa play Nelia Santos on between 2001 and 2003, and what network aired it?"
how many appearances,How many appearances and goals did Ken Horne score during his 11 years at Brentford?
which party won,"Which party won the 1963 Japanese general election, and how many seats did they earn out of the 467 available?"
in which parish and,In which parish and prosti would you find the Logtun Church?
what year did,"What year did Oludamola Osayomi compete at the Commonwealth Games, and what was the shortest distance she competed in?"
how did vera,How did Vera perform at the 1986 South American games?
what year did,"What year did Kele Kele Love win a Best R&B Soul Song award, and what ceremony was the award at?"
who won the,Who won the 2014 election and what was the winning vote margin?
what single did,"What single did AJ McLean release in 2019, and what album was the song on?"
what year was,"What year was Laleh Pourkarim's fourth album, Sjung, released, and what were the first two singles from the album?"
how well did,How well did Dukiet perfil from 1989 to 1996?
what two songs,"What two songs won awards for Bill Johnson at the 2010 Blewzy Awards, and what categories were the songs nominated in?"
what is the,What is “The Guru” and which year was it released?
what was the,"What was the percentage numbers for Hoeven and his opponent, and what was the name and party of his opponent?"
which place did,Which place did Abdelwahab Ferguène achieve at the 1991 Mediterranean Games and at the 1993 World Championships?
which role was,Which role was Chaplin cast as in Robert Altman's Nashville (1975) for which she received a Best Supporting Actress nomination at which award ceremony?
who appointed john,"Who appointed John Branch as territorial governor in 1844, and what year did he serve in that role until?"
in how many pitch,"In how many Pitch Perfect movies did Ester Dean play Cynthia-Rose Adams, and what years did those movies come out?"
who were the,"Who were the top two finishers in the 1956 United States presidential election in North Dakota, and what percentage of vote did each receive?"
in which year was,In which year was “Under the Shadows” by Rae Morris released and on which album would you find it?
how did india,How did India perform in the 1987 Cricket World Cup?
what two teams,"What two teams did Sam Jennings play for during the 1931-32 season, and what division was each team in?"
how was the,How was the appearance record of Brad Guznan for the Aston Villa?
which category and,Which category and award ceremony was Bleu Landau nominated for in 2017?
what were pressly,"What were Pressly's roles in 2004, Joe Dirt in 2001, and Not Another Teen Movie in 2000?"
which country did,"Which country did Dave Long represent at the 1988 Olympics in Seoul, South Korea and what was his marathon finishing position and time?"
how long is,"How long is Istanbul's Otoyol 7 in kilometers, and how long is it in miles?"
how many seasons,How many seasons did Hammeke coach the Tigers and what overall record did he achieve in total?
what was the,What was the total output of the 5.3 L Vortec 5300 V8 increased to between 1998 and 2003?
which party won,Which party won the 1914 Bulgarian parliamentary election and how many seats did they win?
which event did,Which event did Mark Garner participate in at the 1988 World Junior Championships and which medal did he win?
which players participated,Which players participated  in the championship game?
how much power,How much power and torque does the Agera R engine make?
in which parish and,In which parish and deanery would you find the Emigrant Church?
what 1 000,"What 1,000-yard season did Gerald Alphin rack up in 1993, and how many catches and touchdowns did he have that year?"
how many singles,"How many singles did ZZ Ward release in 2013, and what was the second one called?"
what two award,"What two award shows and awards was Maryanne Ito nominated for in 2015, and what were the nominated works at each?"
in which two events,In which two events does Macarena Reyes hold Chilean records?
who were the,Who were the members of Focus in 2002?
what speeds did,What speeds did the first three version of DOCSIS and EuroDOCSIS support?
what was the,What was the vote majority that led to Mayor Andy Watson being elected and who did he defeat?
how did andrew,How did Andrew Bartlett perform in November 2017 Australian Parliamentary crisis?
in which series did,In which series did Jerald Napoles play as Macario Sakay and on which network was it telecasted?
who won the,Who won the 1998 Fukuoka Marathon and what was the time?
what three films,"What three films did Simon Barrett write in 2004 and 2009, and which one was a TV film?"
when did smallwood,When did Smallwood resign as premier and who took over?
how many seasons,"How many seasons did the The Fresh Prince of Bel-Air air for, and how many total episodes were there?"
how did the,How did the New Democracy fare in the 2007 Greek legislative election?
how many goals,"How many goals did Nuno Rocha score against South Africa on 1 September 2017, and what was the final score of the game?"
how many goals,"How many goals did Tanat Nusserbayev have after leaving Astana, and how many appearances did he have?"
what film did,"What film did Eve Hewson play Maid Marian in, and what year did the film come out?"
how well did,How well did bonne do at the 2009 Central American and Caribbean Championships and what was the location ?
what year was,"What year was Nikki Gil's Somebody to Love album released, and what was the second single from the album?"
what film did,"What film did Tatiana Maslany play Claire in, and what year did the film come out?"
how did ennius,How did Ennius do at the 2010 heptathlon and how many points did he score in Austria?
what was tharros,What was Tharros I Alitheia's release history in Cyprus?
which film was,For which film was Firth awarded the Volpi Cup for Best Actor and at which Film Festival did he receive it?
what two awards,"What two awards did the 2014 Forest Hills Drive album win in 2015, and what ceremonies did the album win each award?"
what roles did,What roles did Revell play in 2014 and 2015 in Judy?
how did takahashi,How did Takahashi perform at the 2010 Asian games?
how many stages,How many stages did the 1960 Vuelta a España consist of and what distance did it cover in total?
what awards did,What awards did lend me a tenor win?
which award ceremony,At which award ceremony did Iveta Mukuchyan take part to win a Best Female Singer and in which year was it?
who did flatbush,"Who did Flatbush Zombies collaborate with for the ""No Religion"" single, and what year did it come out?"
when was música,When was Música + Alma + Sexo released in the US and in Europe and by which label?
what famous singles,What famous singles came Out Hello I’m Dolly and how well did they do in the charts ?
how many appearances,"How many appearances did Keito Nakamura make in the J. League Cup, and how many appearances did she make in the Emperor's Cup?"
what awards did,What awards did the Flor Contemplacion Story win during the 1995 Cairo International Film Festival?
how many cantons,How many cantons were there in the 2009 Swiss referendum and out of how many was it?
in what year did,"In what year did Thomas Newman contribute to Scent of a Woman, and who directed that film?"
which team was,For which team was Dan Dakich a head coach between 1997 and 2007 and what was his total record?
how did anna,How did Anna Faris perform at the 2001 MTV Movie Awards
how did njenga,How did Njenga do in the Tokyo marathons in 2004 and 2007?
who won the,Who won the 1932 US Presidential in Illinois and what percentage of the vote did each candidate get?
what year was,"What year was Barbara Mandrell's single ""The Midnight Oil"" released, and what did it peak at in the United States?"
what was the,What was the total turnout percentage and which party took the victory as a result?
what was the,What was the vote outcome for Bernstine and who did he beat?
what roles did,"What roles did Isabella Hofmann play in Tripwire and the Renaissance Man, and what year did the latter come out?"
how many victories,How many victories did Mihalich win and I. Which city up to 2013?
who were the,"Who were the top two finishers in the election, and what percentage of vote did the winner receive?"
what team did,What team did Takamoto move to in 1994 and For which league?
what was the,What was the Conservative vote majority that led to Thomas Edward Lloyd's victory and who did he defeat?
who were the,"Who were the top two finishers in the election, what percentage did each person receive, and what party was the second-place finisher in?"
who appeared in,Who appeared in the Anthony madler film Trópico and who wrote wrote the script for it?
what was the,"What was the most recent year recorded, and what was the total population for Dinalungan during that time?"
what two top,"What two top 20 singles did Dwight Twilley have, and what year did each come out?"
what years did,"What years did William Price play for Fulham, and what years did that team play in the Third Division South?"
who won the,"Who won the 2008 United States Senate election in Minnesota, and how much was his vote lead over the second-place finisher?"
how long was,How long was the Giro DTalia and how many stages does it have?
what two events,"What two events did Yelena Vinogradova compete in during the 1991 World Championships, and what place did she finish in each event?"
what films did,"What films did Miranda Tapsell play Cynthia and Bonita in, and what year did those films come out?"
how was the,How was the standard deviation of the NHL payrolls affected by the salary cap?
who came in,"Who came in third and fourth place for the primary, and how many votes did the third-place finisher receive?"
what awards did,What awards did Bruno mars win for the album 24k magic as well as singles From it?
did the mcg,Did the MCG grand final have a large attendance?
what awards was,What awards was into the woods nominated for and which ones did it win?
when was the,When was the single Chali released and who produced it?
how well did,How well did Falcao play during his second season with Roma and in what serie?
what films did,What films did Shetty work on in the year 2000 and what awards did she get from it?
which titles did,Which titles did Cissy Houston work on with Herbie Mann between 1975 and 1976?
in which parish deanery,"In which parish, deanery and Diocese would you find the Austre Åmøy chapel?"
which song won,Which song won her an award by Magic 88.9 and what OPM award did she also win that year?
what nomination did,What nomination did The Wind Journeys receive in 2009?
how did charles,How did Charles A. West perform as a head football coach from 1928 to 1945?
in what film did,"In what film did Eva Green play Artemisia, and what year did the film come out?"
what events did,"What events did Janieve Russell compete in during the 2014 Commonwealth Games, and what place did she finish in each event?"
who won the,Who won the majority vote count for the Lancashire seat and for which party?
which two awards,Which two awards did Dear Rouge win in 2018 and at which award ceremony were they won?
which show did,In 2015 which show did Pizzolatto write?
what films did,"What films did Richard Davalos play Aron Trask and Blind Dick, and what years did those two films come out?"
which role did,Which role did Zsa Zsa Padilla play in Wildflower of which network in 2017?
where did loria,Where did Loria go after the 2017 season and where did he previously play?
who did mesut,"Who did Mesut Özil score against on 2 July 2016, and what was the final score of the game?"
what award did,What award did waterson win in 2017 and from which festival ?
what year did,"What year did Ayame Misaki appear in Tokumei Sentai Go-Busters as Escape, and what was her first episode?"
how many awards,How many awards did new kids on the block win in 1990 at the American music awards?
what was the,"What was the second single from the Accidentally on Purpose album, and what year was it released?"
what role did,What role did Ann play in Les Miserables and what year was the play performed?
what parish and,What parish and deanery is the old Alta Church a part of?
how did the,How did the final two mayoral elections in Macerata result?
where was the,"Where was the match held on September 16, 2017 and what was the score and total attendance?"
which competition in,At which competition in Russia did Aurieyall Scott compete in the 4x100 relay and in which year was it?
which dates did,Between which dates did the 1970 Tour de France take place and how many stages and distance did it cover?
what percentage of,"What percentage of people approved the 1984 Pakistani Islamisation programme referendum, and what was the overall percentage of voter turnout?"
when did deng,"When did Deng Wei compete in the Olympic Games, and what was his best snatch in the event?"
what were the,"What were the roles of Nina Toussaint-White in EastEnders, Emmerdale, and Bodyguard?"
what was the,"In terms of gross electricity consumption, what was the percentage rise of renewable electricity usage between 1990 and 2017?"
what club did,"What club did Kwon Chang-hoon play for during the 2017-18 Ligue 1 season, and how many goals and appearances did he have?"
when was the,When was the third republic officially inaugurated and who was Sworn in as president?
what song did,What song did yuck release for stranger things and what year did he release it?
which league and,Which league and club did Lee join in 2012 after leaving Seoul?
which league and,Which league and club did Martin Cranie appear for during the 2004-05 season?
what were the,"What were the first two years Willy Kalombo Mwenze competed at the World Championships, and what place did he finish those years?"
how did huang,How did Huang Shih-feng do in the javelin throw at the 2013 East Asian Games?
what year did,"What year did Jeff Bhasker win Song of the Year, and what song did he win for?"
what roles did,What roles did Fain portray in Present Laughter and Harvey?
how many spiders,How many Spiders 1600 and Spider 1300 juniors were made?
who was e,Who was E. M. S. Namboodiripad and what was his political career?
who were the,"Who were the top two finishers in the first round of the 2009 Romanian presidential election, and what percentage of vote did each receive?"
what two events,"What two events did Vadim Zadoinov compete in during the 1990 European Championships, and what place did he finish in each?"
who did democratic,Who did Democratic nominee Brendan Byrne defeat and by what percentage of the vote?
which event did,Which event did Alexandros Papamichail compete in to achieve a Greek national record at the 2012 Olympics and what was his finishing position and time?
what was bhatt,What was Bhatt doing in for his recurring role in 2018?
what songs did,What songs did lambert sing during Hollywood week?
who remixed jai,"Who remixed Jai Wolf's ""Ease My Mind,"" and what year was it released?"
what medals has,What medals has Tesfaye Jifar won and in what type of competition?
what clubs did,What clubs did did Nagashima play for after 1983 until 1993?
which years did,"Which years did Kessinger play for the Bethany Swedes in Kansas and what were the win, loss and tie totals during his time there?"
what role did,What role did Malhotra play in Bade Achhe Hain and what year was it released?
how many games,"How many games, yards and attempts did Troy Davis make in the three seasons from 1997 to 1999?"
how many overall,"How many overall wins and nominations have the Veronicas received, and what years did they win Fave Band?"
how long was,How long was the 1933 Tour de France and how many stages did it have?
which club and,For which club and league did Little make appearances in the 2013-14 season?
what awards and,In 2010 CMT Music Awards what awards and nomination were there?
who were the,"Who were the top two finishers in the 1812 United States presidential election, and what percentage of popular vote did each receive?"
which films won,"Which films won the Best Music Direction category in 1984, 1986 and 1989, and what language were those films in?"
how many units,How many units did the Subaru Tribeca sold in 2013 and how does that compare to its sales in 2012?
what songs and,What songs and albums is Royseven known for?
what year was,"What year was Milky Chance first nominated for Best Band, and what award show was he nominated at?"
what event did,"What event did Wendy Vereen compete in during the 1993 World Championships, and what time did they run?"
what is the,What is the Celsius equivalent of absolute zero and how is it calculated?
what was jagaputi,What was Jagaputi Babu's career activity in the Tamil film in 2013 and the Malayalam film in 2016?
what award was,"What award was Crooked Smile nominated for at the Soul Train Music Awards, and what year was it nominated for this award?"
how many major,How many major finals of the 800m did Strnadová reach between 1983 and 1986 and which positions did she achieve?
in which category did,In which category did Wendy Hiller win an Oscar in 1959 and for which film was it?
what was the,"What was the first single Lena Meyer-Landrut released in 2019, and what album was the song on?"
what acting roles,What acting roles did DeHaan take on in 2015?
which position did,Which position did Tatyana Chernova achieve at the 2008 Hypo-Meeting and what score did she achieve?
what models were,What models were available at the E21 level?
what show did,What show did brown appear in 2014 that wasn’t wireless and what role did she play?
what award did,"What award did Beau Bridges win, and who was the awarding body?"
what year was,What year was Skrape’s debut and what were the singles from it?
in which series and,In which series and year did Eric Johnson play Whitney Fordman?
which award did,Which award did waiting to exhale get and at which award show in 1996?
what are the,What are the characteristics of Coniacian?
what is the,"What is the largest number Qatar Airways Boeing, and what is that number?"
who did andrea,"Who did Andrea Pirlo play for during the 2006-07 Serie A season, and how many appearances did he make?"
how many league,How many league appearances and years did Berra play at Ipswich and which club did he rejoin in 2017?
what are the,"What are the two busiest airports in Romania, what city is the busiest in, and how many passengers did the second-busiest one handle in 2018?"
how does the,How does the Audiodog album finish?
who were the,"Who were the top two finishers in the 2014 election, what party did each person represent, and what was the majority difference between the two?"
who were the,"Who were the top two finishers at the 1984 U.S. Open, and what score did each total overall and to par?"
what were bradley,What were Bradley Wood’s total appearances and goals during his time at Grimsby?
which two singles,Which two singles from twisted sisters were released in 1983 that are not the kids are back?
which single did,Which single did Manson release from Smells Like Children and what year did he release it?
in which year did,In which year did Xavi make his debut appearance and how many times did he consequently play for Spain in total?
what awards was,what awards was the fifth element nominated for?
in which event did,In which event did James participate at the 2011 World Championships and where was the competition held?
which finishing positions,Which finishing positions did Beatriz Pascualhas achieve at the World Championships in 2007 and in 2009 and in which sporting events was she competing in?
what two teams,"What two teams did John Farrell serve as manager for, and what years did he manage the first team?"
who had the,Who had the majority and what was the majority amount?
in which movies did,"In which movies did Ruth Foster portray the character Melinda Foster, and when did she portray her?"
what were the,What were the top 3 accolades in terms of peak position did Jan Hammer win?
which league and,Which league and club did Seiichiro Okuno move to in 1998?
when did the,When did the Eocene Epoch period begin and end and which period of the paleogene period was it?
which year did,Which year did Scott participate in the world U20 championships and in which competition?
where did kobayashi,Where did Kobayashi go in 1992 and what league was it?
what was chuck,What was Chuck Dresden’s overall managerial record?
what position did,"What position did Cristie Kerr tie for in the 2008 Women's British Open, and what was her score overall and to par?"
what percentage of,What percentage of the vote did Abdelaziz Bouteflika win and who came second with 12.18% of the vote?
how did bolt,How did Bolt perform at the 1958 US Open ?
what was ronald,What was Ronald de Boer doing in 1989-90?
who were the,"Who were the top two candidates in the election, and what percentage of vote did each receive?"
what channel did,What channel did apoy sa  Dagat debut in and in what year?
what was joey,What was Joey Castillo's role in the 2001 album Son of Sam's?
how did mcroberts,"How did McRoberts perform at the 1981 Pacific Conference Games, the 1985 World Indoor Games and the 1987 Pan American Games?"
other,Was the electoral participation in both gabon and moyen-Congo ?
what are the,What are the engine specs of the type 63–I engine?
which position did,Which position did Abderrahim Goumri achieve in 2009 and at which city did he take part in the marathon?
which broadway productions,Which Broadway productions did Berat participate in after Peter and the Starcatcher?
how did stefan,How did Stefan Askovski perform in 2014 in the SuperLiga and Tippeligaen divisions?
what was tim,What was Tim Wiese's career like in the 2006-07 season?
which frank ocean,On which Frank Ocean single does Michael Uzowuru appear as the producer and in which year was it released?
how well did,How well did sibanda do at the 2026 olympics?
what kind of,What kind of engine is in the E34 bmw 545i?
which club and,"Which club and league did Robert G. Davies play for in the 1935-36 season, the last of his career?"
how did jeinny,How did Jeinny Lizarazo perform while working with Telemundo and Venevision from 2010 to 2012?
where were the,Where were the four “Butterfly World Tour” shows held in Japan and how many tickets were sold?
what individual gold,"What individual gold medal did Joyce Yakubowich win at the 1975 Pan American Games, and how many relay medals did she win?"
what year did,"What year did Simoya Campbell run under 2 minutes, what was her time, and where was the race held?"
what award did,What award did Ridley win in 2026 at the golden globes and for which movie?
what year did,"What year did Norah Jeruto win the 2000 meters steeplechase at the World Youth Championships, and what was her time?"
what party earned,"What party earned the most seats during the June 2015 Turkish general election, and how many seats did they get?"
what two dates,"What two dates was ""Don't Think They Know"" released in the United States, and what format was released on each of the two dates?"
what players tied,"What players tied for 17th in the 2004 Ballon d'Or voting, and what country is Gianluigi Buffon from?"
in what years did,"In what years did David Oyelowo star in Five Days and The Passion, and what role did he play in the latter?"
how many appearances,"How many appearances did Geoff Davies make for Chester in the Fourth Division, and how many goals did he score for the club?"
what was the,"What was the most recent year Rosberg won the Grand Slam, and how many times has he done that?"
how many seasons,"How many seasons was Anderson's a coach at Montana State and what record did he achieve there, and what was his total career record?"
what year did,"What year did Anu Namshir win an award at the Miss Tourism Queen International, and what category was the award?"
how many nominations,"How many nominations did Ratu receive at the Anugerah Musik Indonesia in 2003, and which work won the Best Produced Work category?"
what character is,"What character is named after the city where all movies are made, and what movie did it join in?"
what are the,"What are the two Kampong postcode areas in Brunei, and what are those two postcodes?"
what was the,"What was the first show Ruco Chan appeared in in 2013, 2014 and 2015, and what award did he win for the 2015 show?"
which categories did,Which categories did Tyagi win at the 2012 Zee Rishtey Awards?
when was this,When was This Is My Time is the album by Raven-Symoné released and by which label?
what teams did,"What teams did Jeff Hemmerman play for in 1979-80 and 1982-83, and what division was he in each season?"
what club did,"What club did Ivan Klasnić play for in 2006-07, and what league was that team in?"
who won the,"Who won the 1908 Wolverhampton East by-election, and what was the majority margin of victory?"
how many times,"How many times in a row had T. Harish Rao won at the MLA by 2018, and how many votes did he receive that year?"
what dates did,"What dates did Caliente (Inna song) become available as a digital download in Romania and Italy, and what label released it in each country?"
what dates were,"What dates were the beginning and end stages of the 1953 Giro d'Italia, and how long in kilometers were both of these plain stages?"
what years did,"What years did Monica appear in Felicity and American Dreams, and what role did she play in the latter?"
which stations does,Which stations does The Karatsu Line connect and in which prefecture would you find them?
what was the,What was the combined record for Collins during eight seasons of the Lady Hornets program and in the MIAA?
what are the,"What are the first two highways listed, and what location are they in?"
what record did,What record did Anthony Chez compile in 1904 and at which team?
in which club and,In which club and league did Jafri make appearances during the 2017 season?
what was the,"What was the wingspan of the De Havilland Comet, and what was the overall length?"
who was jorge,Who was Jorge Telerman and who did he replace between 2006 and 2007?
which years was,During which years was Henry I king of the franks and which House of Capet lineage number was he?
what percentage of,What percentage of the voters approved the 1991 Latvian independence and democracy referendum and what was the total percentage turnout?
who is the,Who is the current Minister for Customer Service since 2 April 2019 and which service did he previously serve from January 2017?
which two competitions,At which two competitions in 2012 did Margaret Wangari Muriuki win medals and in which event?
what albums did,"What albums did Van Zant release in 1998 and 2001, and what single came off the 1998 album?"
in what film did,"In what film did Dane DeHaan play Roman, and what year did that film come out?"
in what film did,"In what film did Margot Robbie play Harley Quinn, and what year did that film come out?"
what was butler,"What was Butler's overall record under Thad Matta in 2001-01, and what was their conference record?"
in what film did,"In what film did Florence Pugh play Elizabeth de Burgh, and what year did the film come out?"
what percentage of,"What percentage of vote did the winner receive, who was the winner, and what was the majority margin of victory?"
what year did,"What year did Christian Smith join Maidenhead United, and what division did he play in during the 2016-17 season?"
which roles has,Which roles has Beetz starred as in the films Geostorm in 2017 and in Deadpool 2 in 2018?
what year was,"What year was Adnan Kandhar's ""Shikva"" nominated for an award, and what was the award show?"
what album did,"What album did Draco Rosa produce for Julio Iglesias, and what year did it come out?"
what year did,"What year did Sabrina Claudio release ""Messages From Her"" as a single, and what album was the song on?"
what was the,"What was the title of the episode of Pretty Little Liars that Adams starred in, in 2010 and which character did she portray?"
what years was,"What years was Devon Seron in Angelito: Batang Ama and Angelito: Ang Bagong Yugto, and what network aired these series?"
in which year did,"In which year did Sinclair leave, and who replaced him on vocals?"
which league and,Which league and club did Henry play for in the 1996-7 season?
when did william,When did William A. Egan serve as first governor of the State of Alaska?
who were the,"Who were the top two finishers in the election, what party did each represent, and what was the majority margin of victory?"
where was the,"Where was the 2013 Islamic Solidarity Games held, and what place did Tarık Langat Akdağ finish in the 3000 m s'chase event?"
who won at,"Who won at the Asian Film Awards, and what category did they win in?"
in what year did,"In what year did Daisuke Arakawa record her longest result, and how far was the distance?"
who won the,"Who won the 1889 Serbian parliamentary election, and how many votes did the party receive out of the 117 available?"
what club did,"What club did Hwang Ui-jo play for in 2017 and 2018, and what division was the team in?"
in what shows is,"In what shows is Manav Gohil currently playing Krishnadevaraya and Hanumant Singh, and what channels air the two shows?"
what year was,"What year was Omo Baba Olowo nominated for a Nigeria Entertainment Award, and what award was he nominated for?"
what was the,What was the total number of people living in Przeczów village in 2002 and what was the male to female percentage?
in what year did,"In what year did Matt Thiessen produce his first Owl City album, and what was the album called?"
in which films has,"In which films has Zymic Jaranilla acted as the characters Rambo, Ding Santos and Toti Del Valle broadcasted on the GMA Network?"
which category was,Which category was Jacqueline Jossa shortlisted for in the British Soap Awards and on which years did she receive the shorlist?
how many farms,"How many farms did Abdul Ahmed Ningi assist with dry season support, and how many did he assist with wet season support?"
what years did,"What years did Dustin Gazley play for the Greenville Road Warriors and Binghamton Senators, and what league is each of those teams in?"
who tied for,"Who tied for second place in the final round, and what was the time for each?"
what song did,"What song did Momina Mustehsan perform during Season 9 that was written by Nusrat Fateh and Ali Khan, and who was the co-singer?"
who won the,"Who won the election, what percentage of vote did he receive, and what percentage of vote did the second-place finisher receive?"
what year did,"What year did Leon McCarty coach at the University of Kansas, and what was his record?"
which medal did,Which medal did Katerina Stefanidi win at the European Championships in 2016 and what distance did she achieve?
who did bharatiya,Who did Bharatiya Janata Party candidate Rabinarayan Naik defeat in the 2014 elections and what figure was the vote margin?
which awards did,"Which awards did Right Now, Wrong Then win at the 68th Locarno International Film Festival?"
who was the,"Who was the first Speaker of the National Assembly of Hungary, and who served immediately after him?"
what team did,"What team did James Owen play for in 2012-13, and what league was the team in?"
who did jean,"Who did Jean-Guy Gendron play for during the 1972-73 and 1973-74 seasons, and how many career games did he play in the WHA?"
what year did,"What year did Chita Rivera win his first Tony Award, and what work was nominated?"
which tv show,"On which TV show and network did Kim Molina appear as ""Kelly""?"
which are the,Which are the French-owned railway companies that became nationalised?
what are the,What are the four different types of aircrafts that American Airlines Shuttle has?
what pc members,"What PC members were elected on September 3, 2015 and February 11, 2016, and what seats were they elected to?"
which tulsa radio,Which Tulsa radio stations did Griffin Communications acquire in 2018?
which tony award,Which Tony Award category did Diana Rigg win in 1994 and for which work?
what was the,What was the vote majority that Iain Wright secured at the Hartlepool election and for which party was he a candidate?
what three shows,"What three shows did Mahershala Ali act in from 2001-02, 2003-04 and 2004-07, and what role did she play in the latter show?"
how much faster,How much faster was Jacques Villeneuve than his closest rival and what time did he achieve?
which events did,Which events did Debbie Scott-Bowker take part in at the 1987 World Championships in Rome and which positions did she finish in respectively?
where was the,"Where was the 1971 VFL Grand Final held, and how many people were in the crowd?"
which roles did,"Which roles did Resha Konkar portray, firstly in Yeh Hai Mohabbatein and secondly in Aap Ke Aa Jane Se on Zee TV?"
what were the,"What were the first two singles Robyn Loau released, and what album were the songs on?"
who did the,Who did the incumbent Democrat Ella Grasso defeat and by which percentage of the vote?
what was baylor,"What was Baylor's overall record in 2012-13, and what was their record in Big 12 play?"
what percentage of,"What percentage of vote did Anais Beltran receive, who finished right behind him, and what percentage of vote did that person fall short?"
how many runs,"How many runs did Paul Nixon total for Leicestershire in September 2007 against Northamptonshire, and how much did he lose by?"
which two nominations,Which two nominations did Brewster recieve at the 2007 Teen Choice Awards?
what dates did,"What dates did Stuart J. Ishimaru serve as Acting Chair of the Commission, and who was subsequently confirmed as the chairperson?"
who were the,"Who were the top three finishers in the 1890 election, and how many votes did the second- and third-place finishers receive?"
what year was,"What year was Hopelessness nominated, and what award show nominated it?"
who were the,"Who were the top two finishers in the 2010 United States Senate election in Pennsylvania, and what percentage of vote did each receive?"
what year did,"What year did Falz win a BET Award, and what category did he win the award in?"
what three singles,"What three singles did Ou Est le Swimming Pool release in 2010, and what album were the singles from?"
which two tracks,Which two tracks did Dead Sara perform in 2015 and from which album were they?
how many appearances,"How many appearances did Scott Fitzgerald make with Colchester United, and how many goals did he score for them?"
who set records,"Who set records in the short program, free skating and total score, and what point totals did the person receive in all three?"
what three singles,"What three singles released in the 1990s entered the UK Singles Chart, and what was the name of Blue Amazon's only studio album?"
who were the,"Who were the top three republican candidates, and what percentage of vote did the winner receive?"
what individual race,"What individual race did Abdelmalik Lahoulou run at the 2018 African Championships, and what time did he run?"
in what show did,"In what show did RJ Padilla play Young Anton in 2013, and what network aired the show?"
which league and,Which league and club did Noriaki Tsutsui move to in 1997?
in what show did,"In what show did Jun Hyo-seong play Han Soo-ri, what network aired the show, and what year did it come out?"
who were the,"Who were the top two finishers in the 2014 election, what party did each represent, and what was the majority margin of victory?"
in what film did,"In what film did Andrew Buchan play John Mercer, and what year did the film come out?"
what year was,"What year was François-Eudes Chanfrault the composer for Vinyan, and who directed that film?"
what years did,"What years did Bud VanDeWege coach at Michigan, what was his overall record and what was his Big Ten Conference record?"
who was nicolae,Who was Nicolae Pătrașcu son of Michael the Brave?
what year was,"What year was Tom Masella's second at Fordham, and what overall record did the team record en route to the Patriot League championship?"
who were the,Who were the members of the Guts and Glory team and The Million Dollar Team who they faced?
which teams in,Which teams in the NHL did Serge D. Aubin play for and how many games did he play in total?
what team did,"What team did Terry Conroy play his 1971-72 FA Cup games for, and what team did he play his League Cup games for that season?"
what was the,"What was the first single Aaron Lines released in 2005, and what was the last single he released that year?"
what year was,"What year was Wendy Armoko twice nominated as Favorite Comedian, and what two award shows did she earn those nominations from?"
who won the,"Who won the election, what party did they represent, and what was the majority margin of victory?"
which track did,Which track did Irons record in 1989 as a member of which group on the Epic label?
where were the,"Where were the 2015 World Championships held, what event did Laura García-Caro compete in, and what place did she finish?"
